question,answer,category,적용대상,출처
어휘가 편입 영어에서 얼마나 중요한가요?,어휘는 편입 영어의 80%를 차지할 만큼 핵심이므로 매일 꾸준히 암기하셔야 합니다.,영어,공통,line38
밤낮이 바뀌었는데 어떻게 해야 할까요?,"아침 기상 인증을 통해 생활 패턴을 교정하고, 늦게라도 반드시 공부를 시작하세요.",학습법,공통,line39
공부 시작 전에는 무엇을 해야 하나요?,"플래너를 작성해 공부 계획을 세우고, 전날 학습한 강의를 간단히 복습한 후 시작해주세요.",학습법,공통,line40
"저녁에 다시 마음잡기가 너무 힘들어요, 어떻게 해야 할까요?","토요일에 쉬니까 오늘까지 열심히 달려보자는 마음으로 해보시고, 못한 부분은 다음날 보충해주세요.",FAQ,공통,line41
영어 단어장 선택은 어떻게 해야 하나요?,보카바이블과 정병권 단어장은 내용이 겹치니 어느 쪽을 선택해도 무방합니다. 다만 부족한 파트는 BGM으로 보충해주세요.,영어,공통,line42
BGM 미니테스트는 어떻게 활용해야 하나요?,"주 2회 모의고사, 4회 미니테스트는 꼭 지켜주시고, 틀린 문제는 며칠 후 다시 풀어 복습해주셔야 합니다.",시험준비,공통,line43
수학 다변수 공부는 어떻게 해야 하나요?,"다변수는 4단원부터 어려워지고 5-6단원은 시간이 오래 걸리니, 그림 그리는 연습을 많이 하시고 문풀과 병행해주세요.",수학,이과,line44
서성한 목표하려면 BGM 모의고사 몇 % 안에 들어야 하나요?,상위 10% 안에 들어야 최상위권으로 판단할 수 있습니다. 기출 풀이를 병행하면 성적은 더 올라갑니다.,입시정보,이과,line45
학업계획서는 얼마나 중요한가요?,"학업계획서는 합격에 큰 비중은 없고, 필기 성적이 훨씬 중요합니다. 하루 30분 이내로 나눠 작성하면 됩니다.",입시정보,공통,line46
문법 공부는 어떻게 유지해야 하나요?,"문법은 하루에 10분이라도 꾸준히 암기하고, 문풀로 부족한 부분을 확인하며 매주 1회 이상 복습하세요.",영어,공통,line47
쎄다 회독과 BGM 중 무엇을 우선해야 하나요?,"쎄다 틀린 문제를 먼저 복습하고, 이후 하프테스트로 넘어가는 것이 효율적입니다.",수학,이과,line48
공학수학은 언제 시작해야 하나요?,BGM이 끝나는 즉시 공학수학과 기출 강좌를 병행하시면 됩니다. 교재는 미리 준비해두세요.,수학,이과,line49
공식노트는 꼭 만들어야 하나요?,"네, 수학 공식 노트는 필수로 만들어 주시고 단권화해서 시험 전날까지 보셔야 합니다.",수학,이과,line50
문법 기본 개념은 언제까지 끝내야 하나요?,문법 기본 개념은 4월 첫째 주까지 끝내는 것을 목표로 해주세요.,영어,공통,line51
수학 진도가 느린데 어떻게 해야 하나요?,수학은 밀리면 안 되니 문풀 포함 진도를 순차적으로 꼭 나가주세요.,수학,이과,line52
독해는 언제 시작하는 게 좋을까요?,내일부터 독해를 같이 시작하시면 좋습니다.,영어,공통,line53
모의고사는 꼭 응시해야 하나요?,의무는 아니지만 결과를 보고 커리큘럼을 조정할 수 있으니 권장드립니다.,시험준비,공통,line54
어휘는 매일 해야 하나요?,"네, 어휘는 매일 진행해 주셔야 합니다.",영어,공통,line55
"단단, 고완풀 교재는 언제 풀면 되나요?",개념 강의가 끝나면 예제→유형별→단단→고완풀 순으로 진행하시면 좋습니다.,학습자료,이과,line56
독해 공부할 때 중요한 점은 무엇인가요?,글 내용보다 글 읽는 방법을 정리하고 다른 지문에 적용하는 연습을 해주세요.,영어,공통,line57
수학과 영어 공부 비율은 어떻게 해야 하나요?,5:5 비율로 공부하시면 좋습니다.,학습법,공통,line58
공부할 때 집중이 잘 안 될 때는 어떻게 해야 하나요?,50분 공부 후 10분 휴식을 반복하는 방식으로 루틴을 만들어 주세요.,FAQ,공통,line59
슬럼프가 올 때는 어떻게 대처해야 하나요?,평소보다 공부 시간을 줄이고 산책 등 가벼운 활동으로 리듬을 회복해 주세요.,FAQ,공통,line60
오답노트는 어떻게 작성하는 게 좋을까요?,틀린 문제 → 틀린 이유 → 정답 근거 순으로 기록해 주세요.,학습법,공통,line61
아침에 공부 루틴을 어떻게 가져가야 하나요?,"기상 후 1시간은 암기 과목, 이후엔 수학이나 영어 집중 과목으로 배치하세요.",학습법,공통,line62
공부 스케줄이 밀리면 어떻게 해야 하나요?,밀린 분량을 하루에 몰아서 하기보다 3일 분량으로 나눠 조정하세요.,FAQ,공통,line63
하루 공부 시간은 몇 시간이 적당할까요?,"평균 10시간 이상은 유지해 주시고, 체력에 따라 12시간까지 늘려주세요.",FAQ,공통,line64
수학 공식은 어떻게 정리해야 하나요?,공식 노트를 따로 만들어 시험 전날까지 반복하세요.,수학,이과,line65
고완풀은 언제 시작하는 게 좋나요?,단단 이후에 고완풀을 시작해 주세요.,수학,이과,line66
수학 문제 풀 때 시간이 오래 걸립니다. 해결 방법이 있나요?,"시간을 재면서 풀고, 20분 이상 걸리면 표시 후 넘어가세요.",수학,이과,line67
미적분 복습은 어떻게 하는 게 좋을까요?,매주 일요일 오전에 지난주 배운 단원을 복습하세요.,수학,이과,line68
수학 기출 문제는 언제부터 풀면 좋을까요?,기본 개념을 끝낸 후 6월부터 기출 문제를 시작하세요.,수학,이과,line69
선형대수는 어떤 순서로 공부해야 하나요?,행렬 → 벡터 → 고유값 순으로 학습해 주세요.,수학,이과,line70
영어 단어 암기는 어떻게 하는 게 좋나요?,하루 50단어씩 테스트 후 틀린 단어만 반복하세요.,영어,공통,line71
영어 독해 연습은 어떤 방식으로 해야 하나요?,지문 구조를 표시하고 글의 흐름을 요약해 주세요.,영어,공통,line72
문법 문제집은 몇 회독 해야 하나요?,최소 3회독 이상 진행해 주세요.,영어,공통,line73
리스닝은 어떻게 준비해야 하나요?,매일 30분씩 들으면서 받아쓰기를 병행하세요.,영어,공통,line74
모의고사 오답은 어떻게 정리해야 하나요?,틀린 문제만 모아 별도 파일을 만들어 반복하세요.,시험준비,공통,line75
실제 시험 시간 배분은 어떻게 해야 하나요?,"수학은 60%, 영어는 40% 시간을 배분하세요.",시험준비,공통,line76
시험 전날에는 무엇을 하는 게 좋나요?,공식 노트와 오답노트만 보시고 일찍 주무세요.,시험준비,공통,line77
시험 당일 아침은 어떻게 준비해야 하나요?,평소에 보던 공식 노트 30분만 보고 편하게 가세요.,시험준비,공통,line78
모의고사 점수가 잘 안 나올 때는 어떻게 해야 하나요?,점수보다 오답 유형 분석에 집중하세요.,시험준비,공통,line79
편입 시험은 보통 언제 치러지나요?,대부분 12월 말에서 1월 초 사이에 진행됩니다.,입시정보,공통,line80
편입 전형에서 중요한 요소는 무엇인가요?,영어와 수학 비중이 가장 큽니다.,입시정보,공통,line81
대학별 시험 난이도 차이가 큰가요?,"네, 학교별로 출제 경향이 다르니 기출 분석이 필요합니다.",입시정보,공통,line82
편입 지원은 몇 군데까지 가능한가요?,일반적으로 3~5개 학교를 선택합니다.,입시정보,공통,line83
편입 합격자의 평균 공부 기간은 얼마나 되나요?,평균적으로 1년 정도 준비합니다.,입시정보,공통,line84
플래너 지도는 언제부터 진행되나요?,"네, 03/18부터 학습관리를 시작하겠습니다.",커리큘럼,공통,line85
강의는 어떤 순서로 들어야 하나요?,개념 강의 → 문제풀이 강의 → 기출 강의 순으로 수강하세요.,커리큘럼,공통,line86
패스권은 어떻게 활용하면 좋나요?,본인 약점 과목 위주로 2배속 수강을 권장합니다.,커리큘럼,공통,line87
주간 테스트는 반드시 응시해야 하나요?,"네, 진도 점검을 위해 꼭 응시해 주세요.",커리큘럼,공통,line88
학원 자습실은 어떻게 이용하나요?,예약제로 운영되니 하루 전날 신청하세요.,커리큘럼,공통,line89
어휘장은 어떤 것을 사용하면 좋나요?,인강을 듣는 선생님의 영단어장을 사용하는 것이 좋습니다.,학습자료,공통,line90
수학 참고서는 몇 권 정도 보면 될까요?,"주교재 1권, 보조교재 1권이면 충분합니다.",학습자료,이과,line91
영어 독해 교재는 어떤 게 좋을까요?,EBS 연계 교재로 시작하는 것을 권장드립니다.,학습자료,공통,line92
기출 문제집은 어떻게 활용해야 하나요?,"먼저 기출을 풀고, 약점 파트만 단권화해 두세요.",학습자료,공통,line93
보충 자료는 꼭 활용해야 하나요?,시간이 허락한다면 선택적으로 진행해 주세요.,학습자료,공통,line94
하루 공부시간은 몇 시간이 적당할까요?,10시간 이상을 기본으로 유지하고 체력에 따라 12시간까지 늘려 주세요.,FAQ,공통,line95
공부가 지칠 때는 어떻게 해야 하나요?,50분 집중 후 10분 휴식을 취하는 패턴을 유지하세요.,FAQ,공통,line96
슬럼프가 오면 어떻게 회복할 수 있나요?,하루 정도는 과감히 쉬고 가벼운 산책이나 운동으로 리듬을 회복하세요.,FAQ,공통,line97
성적이 오르지 않아 불안합니다. 어떻게 해야 하나요?,단기 성적보다 오답노트 정리와 꾸준한 루틴을 유지하는 것이 중요합니다.,FAQ,공통,line98
밤에 공부가 잘 안 될 때는 어떻게 해야 하나요?,오전과 오후에 고난도 과목을 배치하고 저녁에는 복습이나 암기 위주로 해주세요.,FAQ,공통,line99
수학 공식은 어떻게 정리하는 게 좋나요?,공식 노트를 따로 만들어 단권화해 주세요.,수학,이과,line100
선형대수 공부는 어떤 순서로 하면 될까요?,행렬 → 벡터 → 고유값 순으로 학습하세요.,수학,이과,line101
미적분 복습은 언제 하면 좋나요?,주말마다 지난 단원을 다시 풀어 보세요.,수학,이과,line102
수학 문제 풀이 속도가 느립니다. 어떻게 해야 하나요?,20분 이상 걸리는 문제는 표시 후 넘어가고 다시 복습하세요.,수학,이과,line103
기출문제는 언제 시작해야 할까요?,6월부터 기출문제를 단계별로 풀어주세요.,수학,이과,line104
영어 단어 암기는 어떻게 해야 하나요?,하루 50개씩 테스트하고 틀린 단어를 반복하세요.,영어,공통,line105
문법 학습은 언제까지 끝내야 하나요?,문법은 파이널까지 꾸준하게 가져가야 합니다.,영어,공통,line106
독해 공부는 어떻게 접근해야 하나요?,지문 구조를 표시하고 요지를 정리하는 습관을 들이세요.,영어,공통,line107
리스닝은 어떻게 준비하면 좋을까요?,매일 30분씩 듣고 받아쓰기를 병행하세요.,영어,공통,line108
문법 문제집은 몇 회독 해야 하나요?,최소 3회독 이상 반복하세요.,영어,공통,line109
모의고사는 꼭 응시해야 하나요?,결과를 통해 학습 전략을 조정할 수 있으니 꼭 응시하세요.,시험준비,공통,line110
시험 전날에는 무엇을 하는 게 좋나요?,공식 노트와 오답노트만 보고 일찍 주무세요.,시험준비,공통,line111
시험 당일 아침은 어떻게 준비해야 하나요?,30분 정도 공식 노트만 확인하고 편하게 이동하세요.,시험준비,공통,line112
실전 시간 배분은 어떻게 하는 게 좋나요?,"수학 60%, 영어 40%로 배분하세요.",시험준비,이과,line113
모의고사 성적이 낮게 나올 때는 어떻게 해야 하나요?,점수보다 틀린 문제의 유형을 분석하는 데 집중하세요.,시험준비,공통,line114
편입 시험은 보통 언제 치러지나요?,대부분 12월 말에서 1월 초 사이에 있습니다.,입시정보,공통,line115
편입 합격자의 평균 공부 기간은 얼마나 되나요?,대부분 1년 이상 준비합니다.,입시정보,공통,line116
편입 지원은 몇 군데까지 가능한가요?,일반적으로 3~5곳 지원합니다.,입시정보,공통,line117
대학별 시험 난이도 차이가 큰가요?,학교마다 출제 경향이 달라 기출분석이 필요합니다.,입시정보,공통,line118
편입 전형에서 가장 중요한 과목은 무엇인가요?,영어와 수학이 핵심입니다.,입시정보,공통,line119
플래너 지도는 언제부터 하나요?,3월 18일부터 관리가 시작됩니다.,커리큘럼,공통,line120
강의는 어떤 순서로 들어야 하나요?,개념 → 문제풀이 → 기출 순으로 진행하세요.,커리큘럼,공통,line121
주간 테스트는 반드시 봐야 하나요?,진도 점검을 위해 꼭 보셔야 합니다.,커리큘럼,공통,line122
패스권은 어떻게 활용하나요?,약점 과목을 2배속으로 수강하는 것을 권장합니다.,커리큘럼,공통,line123
자습실은 어떻게 이용할 수 있나요?,하루 전 예약제로 운영됩니다.,커리큘럼,공통,line124
오답노트는 어떻게 작성해야 하나요?,틀린 문제 → 이유 → 정답 근거 순으로 정리하세요.,학습법,공통,line125
하루 공부 루틴은 어떻게 짜야 하나요?,"오전엔 암기 과목, 오후엔 수학·영어 집중, 저녁엔 복습으로 구성하세요.",학습법,공통,line126
공부 스케줄이 밀리면 어떻게 해야 하나요?,3일 분량으로 나눠 조정하세요.,학습법,공통,line127
공부할 때 집중이 안 될 때는 어떻게 해야 하나요?,"50분 공부, 10분 휴식 주기를 반복하세요.",학습법,공통,line128
시험 전 한 달은 어떻게 공부해야 하나요?,오답노트와 기출 문제 위주로 정리하세요.,학습법,공통,line129
단단과 고완풀은 언제 풀면 되나요?,개념 학습 후 예제 → 유형별 → 단단 → 고완풀 순으로 진행하세요.,학습자료,이과,line130
어휘장은 어떤 걸 쓰면 좋나요?,기본 3300 단어장을 추천합니다.,학습자료,공통,line131
수학 참고서는 몇 권 준비해야 하나요?,"주교재 1권, 보조교재 1권이면 충분합니다.",학습자료,이과,line132
영어 독해 교재는 무엇이 좋은가요?,EBS 연계 교재로 시작하세요.,학습자료,공통,line133
기출문제집은 어떻게 활용해야 하나요?,먼저 풀고 약점 파트를 단권화하세요.,학습자료,공통,line134
BGM 진도와 블랙 강의는 어떻게 병행하면 좋을까요?,"BGM을 하는 날에는 블랙을 줄이고, 블랙을 하는 날에는 BGM을 줄여서 균형 있게 병행해주시면 됩니다.",수학,이과,line135
영어 단어 암기 방법에 정답이 있나요?,"여러 방법이 있지만 정답은 없고, 본인에게 맞는 방법을 찾는 것이 중요합니다. 무조건 많이 보고 반복하는 것이 가장 중요합니다.",영어,공통,line136
"단어 암기가 힘들고, 손목이 아픈데 어떻게 해야 하나요?","눈으로 보고, 엑셀/노트로 오답 단어만 관리하며 반복하세요. 퀴즐렛 어플로 게임, 카드 등 다양한 방식도 병행해보세요.",영어,공통,line137
강의는 밀려도 몰아서 들을 수 있나요?,"강의는 어느 정도 몰아서 들어도 되지만, 단어 암기는 반드시 매일 조금씩 반복해야 효과적입니다.",학습법,공통,line138
하루 영어 단어 목표 암기량은 어느 정도가 적당한가요?,"하루 3챕터씩 2개(101, 201, 301 중 선택)를 기본으로, 무리가 되면 하루 2챕터로 조정 가능합니다.",영어,문과,line139
몸이 아프거나 급한 일정이 생겨 공부를 못했을 때 어떻게 해야 하나요?,"컨디션이 좋지 않거나 일정이 많을 때는 최소한 단어만이라도 꼭 챙기고, 이후 진도를 따라가면 됩니다.",학습법,공통,line140
학교/과제/시험과 병행할 때 편입 공부는 어떻게 해야 하나요?,"시험, 과제 등 바쁜 시기에는 편입 공부량을 줄이고, 단어와 인강 1강 정도만이라도 챙기는 것이 좋습니다.",학습법,공통,line141
"편입영어 인강과 데일리테스트, 논리·문법 공부는 어떤 순서로 진행하나요?","우선 단어→논리 강의→문법 강의→데일리테스트 순으로, 매일 기본 루틴을 반복하세요.",커리큘럼,문과,line142
공부 계획은 어떻게 세우면 좋을까요?,"하루 목표를 단어/강의/테스트 등으로 세분화하고, 가능한 만큼 지키되 융통성 있게 조정하면 좋습니다.",학습법,공통,line143
환불을 고민할 때 관리 시스템의 장점은 무엇인가요?,"데일리테스트, 플래너, 밴드 관리, 다양한 자료 등 혼자 준비할 때보다 계획, 루틴, 실력 점검 등에서 체계적인 도움을 받을 수 있습니다.",커리큘럼,공통,line144
"편입 영어 단어는 어떤 교재로, 어떻게 외우면 좋나요?","이과 학생은 'mvp', '보카바이블', '김신근 보카 프로파일러lv1' 단어장 등에서 표제어 위주로 1~2회독만 해도 충분합니다. 교재가 오기 전까지는 mvp와 데일리테스트 등으로 암기를 시작하세요.",영어,이과,line145
"영단어 암기는 하루에 얼마나, 어떻게 해야 하나요?","mvp 기준으로 하루 day4(200단어) 외우는 것이 기본이지만, 부담될 경우 day2~3으로 조정해도 괜찮습니다. 첫 회독 목표는 표제어 50% 암기이며, 2~3회독째 70~80%까지 늘려갑니다.",영어,이과,line146
영단어 암기 시간이 너무 오래 걸리는데 완벽하게 외워야 하나요?,완벽하게 외우는 것보다 반복이 중요합니다. 시험 전까지 여러 번 회독할 수 있으니 1회독은 50%만 목표로 잡아도 충분합니다.,영어,공통,line147
단어장이 몇 회독 정도 되어야 충분한가요?,"시험 전까지 계속 회독해야 하며, mvp 단어장 1, 2권만 제대로 외워도 단어는 어느 정도 됩니다. 상반기에 1권 확실히 외우는 게 목표입니다.",영어,이과,line148
"영어 문법, 독해, 논리 중 어떤 순서로 인강을 들어야 하나요?","기본 실력 향상을 위해 노베탈출 강의(문법, 독해)부터 듣고, 이후 lv1(문법/독해/논리)로 넘어가는 것이 좋습니다. 교재가 오면 인강과 병행하세요.",영어,이과,line149
하루 공부 시간과 과목별 비중은 어떻게 배분해야 하나요?,"영어:수학=4:6 비율로, 영어는 하루 최대 2시간 투자하는 것이 적절합니다. 시간은 유동적으로 조정하며, 각자 상황에 맞춰 집중 투자하세요.",학습법,이과,line150
군복무·일정 등으로 시간 확보가 어려울 때 최소한 챙길 공부는?,"바쁜 날에도 영단어 암기, 수학 인강 1강만이라도 꼭 챙기고, 여유 있을 때 진도와 복습을 병행하세요.",학습법,공통,line151
수학 진도와 복습은 어떻게 병행하면 좋나요?,"진도와 복습을 동시에 진행하되, 진도에 치우치지 않도록 문제풀이, 오답노트, 개념 정리를 병행하세요. 시간이 부족할 땐 복습에 집중해도 됩니다.",수학,이과,line152
편입 수학 공식은 어떻게 암기·정리하는 게 효과적인가요?,"날을 잡고 빈 종이에 아무것도 안 보고 삼각함수, 미분, 적분 등 공식과 개념을 모두 적어보는 식으로 정리하면 본인의 약점을 파악하는 데 효과적입니다.",수학,이과,line153
"데일리테스트, 위클리테스트 등은 어떻게 활용해야 하나요?","데일리테스트는 단어 복습, 위클리테스트는 수학 진도 점검 및 오답 정리에 활용하세요. 틀린 문제는 별도 정리해서 다시 풀어보는 게 중요합니다.",시험준비,공통,line154
"모의고사는 언제부터 응시하고, 어떻게 활용해야 하나요?","수학 진도가 미적분까지 나가면 김영 모의고사 등 응시, 영어는 단어/강의 기본만 챙겨도 모의고사 보는 것이 실전감각 익히기에 좋습니다. 점수에 연연하기보다 오답과 유형 파악이 중요합니다.",시험준비,공통,line155
실제 시험과 모의고사 난이도 및 유형은 얼마나 유사한가요?,"김영 모의고사 영어는 실제 시험과 난이도가 유사하며, 수학은 학교별 난이도 차가 크지만 김영 모의고사 수학은 쉬운 편입니다.",시험준비,이과,line156
"공부 루틴이 무너졌거나, 번아웃·슬럼프일 때 대처법은?","공부 못한 날이 있더라도 자책하지 말고 다시 시작하면 됩니다. 주말엔 4~5시간 목표, 단어라도 매일 반복하세요.",학습법,공통,line157
"휴가, 훈련 등 일정이 많을 때 어떻게 계획하면 좋나요?","휴가, 훈련 중에는 쉬는 시간 1/3~1/2만 공부에 투자하고, 나머지는 휴식에 써도 됩니다. 약속이 있을 때는 전후 시간 최대한 활용하세요.",학습법,공통,line158
영어·수학 문제풀이/오답 정리는 어떻게 하는 게 좋나요?,"틀린 문제는 파트별로 정리, 해설 강의로 다른 풀이법도 참고, 오답의 원인과 정답의 근거를 찾아보는 연습이 중요합니다.",학습법,공통,line159
수학 복습은 어떤 점에 중점 두면 좋나요?,"같은 문제를 여러 방법(치환, 부분적분 등)으로 접근해보고, 공식/개념은 여러 각도에서 적용하는 연습이 실력 향상에 도움 됩니다.",수학,이과,line160
"편입 영어 단어장은 어떻게 선택하고, 어떤 방식으로 외워야 하나요?","문과 학생은 'mvp', '보카바이블', '김신근 프로파일러' 단어장 중 표제어 위주로 여러 번 반복 암기가 가장 효과적입니다. 첫 회독은 50% 정도 암기를 목표로 하고, 이후 동의어/반의어는 2회독부터 챙기면 됩니다.",영어,문과,line161
"단어 암기가 너무 힘들고 오래 걸리는데, 완벽하게 외워야 하나요?","단어는 완벽하게 외우기보다 여러 번 반복하는 것이 더 중요합니다. 1회독 때는 모르는 단어 위주로, 여러 번 보다 보면 자연스럽게 외워집니다.",영어,공통,line162
단어장 회독은 어떻게 해야 하나요?,"mvp나 보카바이블 등 여러 단어장을 병행할 때, 한 권씩 집중해서 1회독한 뒤 다른 권으로 넘어가는 방식이 효율적입니다. 회독 후에는 그 안에서 모르는 단어만 다시 복습하세요.",영어,문과,line163
